"nome","resumo","coordenador"
"NÚCLEO DE ESTUDOS DA ANTIGUIDADE","Nea: núcleo de estudos da antiguidade formado por um grupo de professores alunos de graduação e de pós-graduação de história antiga e de arqueologia da uerj com a missão de desenvolver pesquisa em sociedades antigas e expor os resultados na forma de atividades de extensão (cursos eventos palestras). O resultado do estado atual da pesquisa realizada pela equipe nea/uerj mantém interface com o ensino de história antiga cujo produto final é apresentado em cursos e eventos de extensão planejado organizado e executado pelos alunos bolsistas e voluntários que fazem parte da equipe e/ou em forma de publicação. Para fazer parte do núcleo é necessário desenvolver um tema de pesquisa em sociedade antigas ser responsável por um setor do núcleos e apresentar dois relatórios acadêmicos e de atividades técnicas a cada semestre..","Maria Regina Candido"
"ADAPTAÇÃO DE TEXTOS CLÁSSICOS DA DRAMATURGIA ADULTA PARA A LINGUAGEM DE TEATRO INFANTIL","Nosso objeto de pesquisa é a busca de um fazer teatral que possa alcançar o público independentemente de sua faixa etária. Partimos dos elementos que compõe a carpintaria teatral para elaboração de uma linguagem própria ao teatro para crianças e juventude. Mais do que uma mera adaptação de textos investigamos a possibilidade da construção de uma linguagem própria ao teatro para crianças e jovens. Nosso objetivo não é literário mas sim com a linguagem e na linguagem em teatro para crianças. A única forma de atingir tal objetivo é fazendo o teatro. Além do binômio ator - espectador nosso trabalho se desdobra para os elementos que compõe o teatro: cenografia cenotécnia luminotécnica indumentária construção e manipulação de formas animadas formas sonorização construção de elementos de sonorização música dança e planejamento produção cultural legislação cultural e de autor e a realização de cursos e seminários além da apresentação de nosso trabalho e conclusões em fóruns de discussão da prática teatral para a infância e de educação. Desde sua criação até a presente data o projeto conseguiu atender outros públicos além dos projetados em seus objetivos. Gerou impacto também em relação aos organismos e agências ligadas ao fomento da cultura no país levando-os a mudar procedimentos de contratação e captação de recursos para projetos culturais de uso de equipamentos e de espaços destinados a prática teatral. Formou e ajudou a formar artistas e técnicos em áreas diversas da construção de espetáculos cênicos .Propôs uma disciplina na graduação cursos de extensão. Treinou e formou professores estágio treinamento e aperfeiçoamento para técnicos e artistas. Em alguns momentos de concepção temos trabalhado com dados do programa de pesquisas desenvolvido pelo (ipea) para o extinto minc referentes a estudos econômicos sobre a demanda de bens culturais sobre o desempenho escolar das crianças e estudos sobre setores específicos da produção cultural no país","Roberto Rodriguez Doria"
"PRESERVAÇÃO E CONSERVAÇÃO DE SÍTIOS ARQUEOLÓGICOS","O projeto de preservação e conservação de sítios arqueológicos no estado do rio de janeiro vem sendo desenvolvido desde 2001 quando reuniu os resultados das intervenções arqueológicas desenvolvidos nos municípios de angra dos reis e saquarema por equipes coordenadas pelas arqueólogas nanci vieira de oliveira (uerj) e lina maria kneip (ufrj). Dentre os resultados obtidos pelas pesquisas verificou-se a importância de ações preservacionistas com relação ao patrimônio arqueológico fluminense. Nos projetos de intervenções arqueológicas as ações de educação patrimonial estabelecem um espaço aberto à comunidade interlocutor entre o saber acadêmico e o saber popular possibilitando a transmissão de ideias e conceitos em uma linguagem mais aberta. A consolidação do projeto como um espaço de educação patrimonial aberto à comunidade como interlocutor entre o saber acadêmico e o saber popular o torna um dos canais de ligação que possibilita a transmissão de ideias e conceitos numa linguagem mais aberta de fácil compreensão de todos. Com o apoio do programa “jovens talentos para a ciência” através de bolsas para alunos do ensino médio e bolsas especiais para indígenas os jovens são instrumentalizados através de curso intensivo e oficinas que permitem vivenciar o trabalho do arqueólogo e tecnologias. Cabe ressaltar que o laboratório de antropologia biológica é uma das instituições reconhecidas pelo iphan para guarda de material arqueológico. Assim o acervo do laboratório vem sendo ampliado através de parcerias com outros pesquisadores e empresas. As ações de educação patrimonial em conjunto com as parcerias e a diversidade de materiais que são integrados ao acervo do laboratório estimulam propostas de pesquisas bem como no enriquecimento de material para as ações educativas.","Nanci Vieira De Oliveira Aguiar"
"JUVENTUDE PRÁTICA MUSICAL E EXPRESSÃO: VIVENDO E CRIANDO MÚSICA COM JOVENS","""juventude prática musical e expressão: vivendo e criando música com jovens"" é um projeto de extensão universitária da uerj que se destina a pesquisar e divulgar a música brasileira e do mundo e desse modo se configura como um instrumento de manutenção do patrimônio cultural e de fomento às novas manifestações culturais.","Ilana Assbu Linhales Rangel"
"HISTÓRIA DE SÃO GONÇALO: MEMÓRIA E IDENTIDADE","O grupo história de são gonçalo foi criado em 1996 com o objetivo de desenvolver pesquisas projetos de ensino e extensão dedicados à história e historiografia daquela localidade. Entretanto ao longo do tempo várias ações foram realizadas nos municípios adjacentes sempre considerando a abordagem da história local um campo privilegiado de investigação. A partir da coleta organização e pesquisa em fontes documentais iconográficas e depoimentos orais foram sendo elaboradas atividades pedagógicas voltadas para a reflexão das vivências e experiências locais. Com financiamento da faperj as atividades foram reunidas nas caixas da história e distribuídas para escolas municipais através de oficinas com os professores. A experiência com as caixas possibilitou a elaboração de materiais didáticos sobre a recepção de imigrantes em são gonçalo. Compreendemos a relevância de trabalhar com o tema da imigração pois além de ter funcionado na cidade uma hospedaria de imigrantes o município de são gonçalo é o terceiro no estado do rio de janeiro em número de imigrantes (ibge 2010). Dar voz aos imigrantes que ajudaram a construir são gonçalo foi o objetivo da mostra presença imigrante em são gonçalo e do livro experiências da imigração. São gonçalo nos séculos xx e xxi. O memorial da igreja matriz de são gonçalo é outro espaço expositivo que ajudamos a construir a partir das pesquisas que subsidiaram as obras de recuperação do templo. Nos últimos anos iniciamos uma investigação sobre a imprensa de são gonçalo ao receber uma coleção de exemplares do jornal a gazeta de são gonçalo primeiro jornal local de periodicidade regular e de materiais que pertenceram às oficinas gráficas do jornal o são gonçalo. Nossas pesquisas também são divulgadas por meio de apresentações de trabalhos em congressos publicações de artigos e livros e produção de monografias dissertações e teses. Todo nosso acervo encontra-se disponível no site www.Historiadesaogoncalo.Pro.Br","Rui Aniceto Nascimento Fernandes"
"ECOMUSEU ILHA GRANDE","O ecomuseu ilha grande é um programa de extensão e uma unidade da pró-reitoria de extensão e cultura (pr3) vinculado ao departamento cultural da universidade do estado do rio de janeiro - uerj voltado às atividades de preservação investigação e divulgação do meio ambiente da história e da vida sociocultural da ilha. Composto por quatro núcleos: museu do cárcere museu do meio ambiente parque botânico e centro multimídia.","Gelsom Rozentino De Almeida"
"PROJETO MUSEU DO CÁRCERE","O projeto de extensão museu do cárcere objetiva contribuir para o museu e suas atividades museais bem como buscar a melhoria de condições para a sua atuação junto à comunidade local e aos visitantes em geral articulando atividades de ensino pesquisa e extensão. Para tanto busca realizar a preservação do patrimônio material e imaterial do sistema penitenciário e da comunidade da ilha grande. O museu do cárcere está instalado em prédios da padaria e da guarda do antigo instituto penal cândido mendes que foram recuperados e restaurados. Tem como proposta servir como importante fonte de reflexão sobre as políticas carcerárias e seus reflexos na sociedade brasileira da análise das condições de cumprimento da pena da prisionização dos significados da liberdade dos direitos humanos e da cidadania a partir da história das sucessivas unidades penitenciárias da ilha grande.","Gelsom Rozentino De Almeida"
"CENTRO DE MEMÓRIA DA IMIGRAÇÃO DA ILHA DAS FLORES","No ano de 1883 o governo imperial estabeleceu uma hospedaria de imigrantes na ilha das flores destinada a acolher estrangeiros recém-chegados ao brasil. A iniciativa fazia parte das políticas governamentais voltadas ao povoamento do território nacional e à transição da mão de obra escravizada para o trabalho livre. Ao longo de sua existência a hospedaria não apenas recebeu imigrantes mas também migrantes internos e prisioneiros políticos. Suas atividades foram encerradas definitivamente em 1966 e a ilha das flores foi posteriormente transferida para o ministério da marinha. Embora a hospedaria tenha sido amplamente citada em estudos sobre imigração sua história permaneceu pouco explorada por pesquisas acadêmicas. Com o objetivo de resgatar essa memória em 2011 a marinha do brasil e a universidade do estado do rio de janeiro (uerj) firmaram um convênio para estabelecer um roteiro de visitação permanente e promover exposições no local. Assim surgiu o centro de memória da imigração da ilha das flores (cmiif) dedicado a estudar e divulgar as experiências (i)migratórias que ocorreram nesse espaço. As atividades do centro de memória são conduzidas por um grupo de pesquisadores contando ainda com a colaboração de especialistas de instituições nacionais e internacionais como o museu da imigração do estado de são paulo o museo de la inmigración de buenos aires o ellis island national museum of immigration e o canadian museum of immigration at pier 21. Além de sua função como centro de pesquisa o cmiif também desempenha um papel essencial na coordenação acadêmica do primeiro equipamento cultural público do estado do rio de janeiro voltado à imigração. Seu propósito é não apenas agregar estudiosos da área mas também sensibilizar a população fluminense sobre a importância desse tema. Dessa forma a universidade reafirma seu compromisso com a integração entre pesquisa ensino e extensão.","Luis Reznik"
"NÚCLEO DE ESTUDOS INTERNACIONAIS BRASIL-ARGENTINA - NEIBA","O núcleo de estudos internacionais brasil argentina – neiba (www.Neiba.Com.Br) completa em 2025 dezesseis anos de existência durante os quais desenvolveu intensa atividade em várias áreas consolidando assim a parceria binacional institucionalizada no acordo específico de cooperação acadêmico-científica de pesquisa e estudos de graduação e pós-graduação em relações internacionais (renovado em 30/03/2021 por mais 5 anos) entre o programa de pós-graduação em relações internacionais da uerj (ppgri-uerj) e o programa de estudios argentina-brasil (peab) da escuela de relaciones internacionales de la universidad nacional de rosario –unr. A coordenação é tripartite dividida entre os professores hugo r. Suppo (uerj) gladys t. Lechini (unr) e layla dawood (uerj). O neiba ademais de organizar palestras e outras atividades edita desde 2012 os ""cadernos argentina- brasil do neiba"" (qualis b1) - http://www.E-publicacoes.Uerj.Br/index.Php/neiba e a partir de 2013 o jornal informativo do núcleo de estudos internacionais brasil-argentina – infoneiba (qualis b4) - https://www.Neiba.Com.Br/infoneiba","Hugo Rogelio Suppo"
"DESCOBRINDO A CULTURA JAPONESA","Este projeto de extensão “descobrindo a cultura japonesa” coordena e organiza eventos relacionados ao setor de japonês da uerj sobre língua e cultura japonesa cooperação internacional entre o brasil e o japão programas de intercâmbio e bolsas de estudos da uerj com as universidades japonesas. Nesse sentido é grande o alcance deste projeto em termos de público: interno e externo nacional e internacional assim como as parcerias com órgãos internos e instituições externas. Em termos de cooperação entre o brasil e o japão vale destacar: [a] em março de 2022 a uerj firmou um acordo com a agência de cooperação internacional do japão (jica) e assim criou a “cátedra jica-uerj”. [b] em março de 2024 inauguramos a “sala de estudos japoneses da uerj” na faculdade de direito com o apoio do consulado geral do japão no rj. [c] em 2025 comemoramos os 130 anos de relações diplomáticas entre o brasil e o japão. No seu ensejo realizamos o lançamento do livro organizado pela cátedra jica-uerj em maio de 2024. [d] em fevereiro de 2025 o “curso de graduação em letras de português-japonês da uerj” recebeu uma importante homenagem da fundação japão em são paulo. [e] mais recentemente em março de 2025 na capela ecumênica da uerj foi realizada a “cerimônia de assinatura do programa de dupla diplomação entre a universidade de estudos estrangeiros de tóquio (tufs) com a universidade do estado do rio de janeiro (uerj)” algo inédito numa universidade pública brasileira e que passou a fazer parte dos acordos entre o brasil e o japão. [f] outros eventos de língua e cultura japonesa também têm sido organizado e realizado na uerj. Nesse sentido este projeto tem contribuído para que a uerj viesse a ocupar um lugar importante e com visibilidade no cenário internacional da relação entre o brasil e o japão.","Elisa Massae Sasaki"
