"nome","resumo","coordenador"
"PROSACINE","Em cada sessão do projeto é exibido um filme e em seguida há uma roda de conversa com os realizadores das obras audiovisuais que podem ser diretores produtores atores etc. Os quais são entrevistados por professores da uerj e professores ou profissionais externos que atuem nas áreas de conhecimento correlatas aos temas apresentados nas obras cinematográficas exibidas. O projeto de extensão prosacine foi iniciado em 2018 com o intuito de promover uma conexão entre os membros de uma universidade pública gratuita e de vanguarda como a uerj - representadas pelos seus estudantes professores e técnicos-administrativos – e a comunidade externa por meio da exibição de filmes de ficção e de documentários tanto nacionais quanto estrangeiros abertas ao público em geral. Estamos em contato contínuo com várias produtoras/distribuidoras e encontramos muita receptividade para o estabelecimento de parcerias o quer vai possibilitar a exibição de títulos os mais variados inclusive lançamentos e filmes com acessibilidade (libras e audiodescrição por exemplo). A discussão dos temas abordados nos filmes a partir de diferentes interpretações considerando todas as vertentes verbais e não verbais da obra e a possibilidade do estabelecimento da relação com ingredientes científicos e culturais são dois dos principais objetivos do projeto.","Rafaella Furtado Rocha"
"UERJ EM CASA","O projeto uerj em casa busca reconhecer conhecer e valorizar talentos artísticos inseridos na comunidade interna da universidade e dar a estes espaço para mostrarem sua arte. Assim o projeto tem como seu ponto de partida a pesquisa de artistas que sejam discentes docentes terceirizados ou técnicos administrativos sendo muitas vezes convidados participantes que tenham enviado seu material artístico previamente via censo cultural decult ou via formulário de solicitação de pauta. O projeto tem edições semestrais onde em cada encontro recebemos um convidado da comunidade interna que apresenta seu trabalho artístico das mais variadas expressões artísticas mas principalmente das artes cênicas e da música: peças teatrais apresentações de dança-teatro performances shows musicais concertos clássicos entre outros. Através de parceria com o laboratório de acessibilidade cultural (lac uerj) os eventos contarão com recursos de acessibilidade como libras visita tátil para usuários de audiodescrição e notas introdutórias de audiodescrição.","Rafaella Furtado Rocha"
"LITURGIA E ARTE","é crescente a demanda de pessoas que procuram partituras para uso litúrgico. Pelo facebook é possível identificar comunidades de músicos que se unem para troca de partituras. Apesar de ser obrigatório o registro de músicas por partituras a questão é que na maioria das vezes estas partituras não estão disponíveis ou não existem o que dificulta o uso de muitas músicas. Desde 2015 temos acompanhado a caminhada da página partituras católicas do facebook. Os membros desta comunidade compartilham as partituras que são solicitadas mas muitas vezes são frustrados pela ausência da música grafada. Conhecer música e ler uma partitura não significa saber grafá-la e na grande maioria das vezes o músico amador que se dispõem a ajudar no serviço litúrgico não sabe transcrever uma música. A ideia primeira é auxiliar o trabalho destas comunidades elaborando as partituras a partir das músicas viabilizadas no youtube que forem solicitadas pelos membros destas comunidades virtuais. O projeto também pretende trazer para o aluno de nossa universidade a experiência da música erudita e liturgica não como elemento de fé e divulgação religiosa mas como expressão artística e cultural. Além disso é mister também entender o papel social e político destas comunidades entendendo seu espaço social e sua inserção na sociedade.","Isabel Arco Verde Santos"
"ACERVO UNIVERSITÁRIO DO SAMBA","O acervo universitário do samba é uma iniciativa acadêmica em defesa da cultura popular brasileira e de uma das suas formas coreográfico-musicais mais representativas: o samba carioca. O seu objetivo precípuo será registrar após rigorosa pesquisa realizada por uma equipe de profissionais da universidade em eventual parceria com docentes de outras instituições públicas o legado dos maiores nomes vivos desse gênero artístico privilegiando aqueles que vivem e atuam no estado do rio de janeiro. O trabalho empreendido deverá ser editado em livro o qual incluirá um disco de canções preferencialmente inéditas do(s) sambista(s) biografado(s) ou dvd com documentário e imagens no caso de artistas plásticos carnavalescos ou outros profissionais vinculados aos desfiles das escolas de samba e ao gênero abordado. Serão ainda convidadas a integrar o projeto aquelas entidades que se dedicam à pesquisa preservação e difusão do samba em nosso estado como o museu do samba e as agremiações carnavalescas da cidade. O projeto prevê a publicação a cada três anos de três livros-discos de artistas previamente selecionados pela equipe integrante do projeto.","Andressa Elisa Lacerda"
"LABORATÓRIO DE PRÁTICAS EM ARTE E EDUCAÇÃO","Esse projeto tem por objetivo a consolidação do laboratório de práticas em arte e educação aqui denominado programa educativo dentro da coordenadoria de exposições (coexpa). O programa prevê as formações técnicas e teóricas relativas à arte-educação além de formação voltada às práticas de mediação cultural. Ademais temos como propósito a realização de visitas mediadas e demais atividades educativas paralelas às exposições da coexpa/ decult traçando parcerias com escolas estaduais e municipais e outras instituições localizadas no entorno da universidade do estado do rio de janeiro campus maracanã onde se localizam as galerias candido portinari e gustavo schnoor. Laboratório de práticas em arte e educação coloca-se no atual momento histórico mundial não apenas como um projeto como também um eixo para se pensar as formas os meios os caminhos e as ações possíveis para se resgatar as pontes e os diálogos que fazem a arte ser aquilo que ela é. Desta maneira através de grupos de estudos com encontros semanais parcerias ( museu afro digital associação brasileira de antropologia laboratório de acessibilidade) pudemos pensar e realizar ações de constituição de pontes e diálogos unindo intelectuais pesquisadores e artistas dispostos a pensar os novos horizontes de possibilidades a serem inaugurados. Diante das novas urgências impostas pela pandemia somadas ao consequente agravamento das tensões próprias da morfologia social brasileira percebemos a importância de se pensar caminhos e soluções para os agentes de produção e divulgação da arte e da cultura nesse período de profunda transformação em que vivemos e no inevitável day-after - a nova sociedade que se conforma à convivência com a nova doença. São muitos os desafios portanto. Que nova gramática social se abrirá para nós nesse “novo normal” e quais as possibilidades para a arte e a cultura diante dessa nova trama social que se abre?","Ana Tereza Prado Lopes"
"LABORATÓRIO DE ACESSIBILIDADE CULTURAL: CONSTRUINDO REDES CONHECIMENTOS E PRÁTICAS INCLUSIVAS NO DECULT/UERJ","O presente projeto está vinculado à unidade de desenvolvimento tecnológico (udt) laboratório de acessibilidade cultural (lac) criada em 2019. Compartilha portanto o objetivo do lac de promover a pesquisa o desenvolvimento e a implementação de práticas inclusivas e tecnologias assistivas nos múltiplos espaços de arte e cultura da universidade. Partindo da ampla abrangência da iniciativa o projeto concentra-se na articulação de redes intra e extrainstitucionais no fomento ao compartilhamento de conhecimentos e na mobilização e gestão de recursos humanos e materiais necessários à efetivação da proposta. Em consonância com o lac e com o departamento cultural (decult) o projeto busca contribuir para viabilizar estruturar e desenvolver o campo da acessibilidade cultural na universidade além de possibilitar o cumprimento da legislação vigente a garantia de direitos e a equiparação de oportunidades para todos.","Gabriel Barros Guimarães"
"ECOMUSEU ILHA GRANDE","O ecomuseu ilha grande é um programa de extensão e uma unidade da pró-reitoria de extensão e cultura (pr3) vinculado ao departamento cultural da universidade do estado do rio de janeiro - uerj voltado às atividades de preservação investigação e divulgação do meio ambiente da história e da vida sociocultural da ilha. Composto por quatro núcleos: museu do cárcere museu do meio ambiente parque botânico e centro multimídia.","Gelsom Rozentino De Almeida"
"MUSEÓLOGAS DE FAMÍLIA","Os inventários participativos são instrumentos de estímulo para que os próprios grupos e comunidades locais possam em primeira pessoa assumir a identificação a seleção e o registro das referências culturais significativas para suas memórias e histórias sociais em seus processos de musealização. A sistematização dos dados resultará em uma publicação que incluirá as experiências de destaque além de servir como referência para a proposição de metas para as diretrizes prioritárias do ecomuseu ilha grande e como ferramenta de gestão de políticas culturais. Conhecer as comunidades e suas especificidades ajudará o ecomuseu ilha grande a desenvolver ações direcionadas ao desenvolvimento local e a partir das demandas e necessidades estabelecida através da relação entre universidade e comunidade.Inspirado no programa ""médico da família"" o projeto “museólogas de família” é uma proposta de interação do ecomuseu ilha grande com as comunidades da ilha. Por meio de visitas às residências conversas na porta de casa e em ""rodas de conversa"" os moradores compartilham com o museu suas memórias e trajetórias de vida que se entrelaçam e se complementam formando identidades locais.","Gelsom Rozentino De Almeida"
"PROJETO CULTURA CAIÇARA NA ILHA GRANDE","Diante das aceleradas transformações que a ilha grande está passando o ecomuseu ilha grande / uerj manifesta sua preocupação no registro do jeito de ser caiçara nas memórias familiares nos sistemas de valores nas formas e instrumentos de trabalho na relação das comunidades com a natureza e em seu conhecimento sobre ela. Assim o museu apresenta como proposta o desenvolvimento de uma pesquisa sobre a cultura caiçara da ilha grande com vistas a conhecer aspectos da realidade das comunidades tradicionais que ali vivem lado a lado com as rápidas transformações as quais a região está sujeita. Em linhas gerais a pesquisa tem por objetivo a coleta de memórias relatos descrições e objetos que se refiram ao modo de vida e das marcas da cultura caiçara.","Gelsom Rozentino De Almeida"
"PROJETO MUSEU DO CÁRCERE","O projeto de extensão museu do cárcere objetiva contribuir para o museu e suas atividades museais bem como buscar a melhoria de condições para a sua atuação junto à comunidade local e aos visitantes em geral articulando atividades de ensino pesquisa e extensão. Para tanto busca realizar a preservação do patrimônio material e imaterial do sistema penitenciário e da comunidade da ilha grande. O museu do cárcere está instalado em prédios da padaria e da guarda do antigo instituto penal cândido mendes que foram recuperados e restaurados. Tem como proposta servir como importante fonte de reflexão sobre as políticas carcerárias e seus reflexos na sociedade brasileira da análise das condições de cumprimento da pena da prisionização dos significados da liberdade dos direitos humanos e da cidadania a partir da história das sucessivas unidades penitenciárias da ilha grande.","Gelsom Rozentino De Almeida"
